title,country,language,cost,releaseDate,genre
Grass-roots holistic strategy,Congo,Bashkir,72.29,2016-12-17,Mystery
Stand-alone background info-mediaries,Guyana,Avaric,65.03,1997-04-09,Horror
Integrated attitude-oriented frame,United States of America,Afrikaans,264.27,2017-03-25,Drama
Object-based context-sensitive standardization,Bosnia and Herzegovina,Sinhala,49.56,2002-06-10,Documentary
Focused tangible data-warehouse,Guatemala,Swahili,34.61,1996-11-27,Drama
Multi-lateral empowering architecture,Belize,Occitan,186.25,2022-02-21,Mystery
Compatible even-keeled capacity,Bermuda,Latin,108.9,1995-09-12,Horror
Persevering dynamic attitude,Togo,Bambara,194.77,2011-03-27,Horror
Fully-configurable local standardization,Portugal,Bihari languages,136.6,1997-01-17,Comedy
Virtual reciprocal flexibility,Finland,Abkhazian,181.71,2001-07-20,Fantasy
Balanced background software,Saint Lucia,Igbo,141.63,2005-05-27,Mystery
Devolved systematic standardization,Croatia,Bulgarian,231.76,2003-01-13,Fantasy
Networked 6thgeneration archive,Guadeloupe,Tonga,294.65,2012-10-10,Romance
Visionary fault-tolerant Graphic Interface,Kyrgyz Republic,Pushto,118.72,1998-07-20,Sci-Fi
User-friendly mobile parallelism,Norfolk Island,Lingala,213.45,2015-12-15,Fantasy
Multi-lateral interactive firmware,Montserrat,Greek,58.04,2020-06-04,Action
Multi-channeled fault-tolerant access,Malawi,Amharic,76.47,2023-02-23,Romance
Ergonomic systemic migration,Uruguay,Aymara,167.71,2000-04-29,Horror
Upgradable client-driven algorithm,Western Sahara,Greek,179.28,1999-02-27,Action
Right-sized even-keeled moderator,Mongolia,Quechua,93.02,2004-07-22,Thriller
Expanded maximized throughput,Saint Kitts and Nevis,Japanese,70.18,2000-11-23,Romance
Total tangible infrastructure,Kiribati,Yoruba,28.86,2013-05-25,Mystery
Stand-alone tertiary open architecture,Sudan,Quechua,24.54,1994-05-28,Romance
Future-proofed exuding migration,Oman,Arabic,274.19,2023-06-06,Documentary
Exclusive holistic benchmark,Niue,Tagalog,28.73,2020-08-08,Comedy
Balanced dynamic analyzer,Niue,French,284.45,2013-05-27,Documentary
Optimized value-added implementation,Pakistan,Sardinian,200.15,2019-10-27,Comedy
Universal tertiary hub,Portugal,Swedish,91.37,2018-11-28,Horror
Seamless optimal migration,Aruba,Chichewa,3.08,2006-07-23,Thriller
Programmable bi-directional parallelism,Equatorial Guinea,Chuvash,207.38,2020-06-12,Sci-Fi
Face-to-face bi-directional info-mediaries,Bermuda,Sundanese,91.09,2014-01-27,Drama
Reactive radical leverage,Hungary,Ukrainian,236.51,2012-12-18,Thriller
Face-to-face context-sensitive firmware,Costa Rica,Ojibwa,90.75,2000-11-13,Sci-Fi
Visionary maximized toolset,Montserrat,Bashkir,152.83,2001-10-15,Horror
Operative multimedia task-force,Taiwan,Central Khmer,3.99,2006-12-17,Documentary
Vision-oriented hybrid model,Tonga,Oromo,190.26,2022-02-07,Comedy
Automated stable analyzer,American Samoa,Fulah,195.97,2010-11-17,Romance
Polarized modular middleware,Oman,Belarusian,137.7,2013-09-16,Fantasy
Quality-focused context-sensitive capacity,Czech Republic,Tonga,269.52,2006-01-22,Drama
Business-focused grid-enabled service-desk,Lebanon,French,287.84,1994-02-15,Documentary
Fundamental solution-oriented instruction set,Ireland,Ukrainian,273.39,2008-12-30,Drama
Realigned zero tolerance website,Bahamas,Afrikaans,298.45,2016-03-16,Romance
Universal contextually-based infrastructure,Anguilla,Chinese,245.7,2002-03-23,Fantasy
Seamless 5thgeneration hardware,Egypt,Yoruba,287.57,2019-04-03,Sci-Fi
Profit-focused homogeneous budgetary management,Guam,Kurdish,176.84,2022-09-29,Documentary
Cross-platform high-level open system,Chile,Kurdish,91.32,2021-04-12,Romance
Open-architected upward-trending synergy,Norway,Western Frisian,297.82,2018-09-30,Mystery
Fundamental 24hour extranet,Honduras,Finnish,54.73,2013-11-17,Thriller
Reverse-engineered full-range synergy,Turks and Caicos Islands,Bambara,81.73,2006-12-10,Thriller
Implemented even-keeled matrix,Djibouti,Cree,12.21,2018-02-08,Comedy
Down-sized methodical project,Wallis and Futuna,Haitian,91.25,2022-07-17,Documentary
Innovative user-facing strategy,Tanzania,Corsican,110.85,2007-02-09,Drama
Optimized mission-critical matrices,Germany,Uzbek,77.01,2005-05-18,Thriller
Open-architected human-resource emulation,Cayman Islands,Icelandic,210.09,2018-09-11,Mystery
Exclusive clear-thinking project,United Kingdom,Haitian,165.51,1997-04-26,Drama
Mandatory mission-critical firmware,Hungary,Sardinian,278.35,2001-07-08,Drama
Reduced neutral secured line,Netherlands,Chamorro,97.65,2019-10-23,Action
Integrated intangible success,Christmas Island,Hausa,71.76,2012-04-24,Thriller
Customer-focused tangible knowledgebase,Saint Lucia,Kirghiz,236.11,2018-05-30,Thriller
Enhanced intangible interface,Portugal,Divehi,289.46,2004-09-14,Fantasy
Streamlined user-facing portal,Maldives,Bulgarian,30.45,1995-07-16,Comedy
Assimilated attitude-oriented model,Gambia,Czech,208.88,2003-06-14,Action
Distributed 5thgeneration circuit,Jamaica,Oromo,267.54,1996-03-20,Mystery
Distributed reciprocal model,American Samoa,Arabic,200.41,2014-03-30,Mystery
Adaptive actuating structure,United Kingdom,Sundanese,161.07,1996-10-02,Thriller
Right-sized content-based complexity,Nigeria,Venda,174.94,2016-03-21,Thriller
Mandatory holistic approach,Solomon Islands,Hindi,185.51,2019-05-13,Drama
Persevering motivating neural-net,Austria,Zhuang,247.68,1995-04-24,Mystery
Vision-oriented regional extranet,Singapore,Azerbaijani,163.12,1995-10-04,Documentary
Multi-channeled radical groupware,Mayotte,Burmese,260.08,2017-07-31,Fantasy
Business-focused radical structure,Saint Barthelemy,Tibetan,254.25,2008-05-17,Drama
Future-proofed explicit neural-net,Philippines,Catalan,119.89,2004-07-27,Comedy
De-engineered multi-tasking time-frame,Tokelau,Kalaallisut,161.84,2003-08-22,Sci-Fi
Multi-tiered asymmetric workforce,Costa Rica,Ojibwa,25.55,2003-09-21,Horror
Programmable high-level infrastructure,Guinea-Bissau,Turkmen,119.79,2002-07-11,Drama
Automated value-added matrices,Malta,Sango,274.21,2008-07-30,Mystery
Inverse 24hour toolset,Fiji,Sardinian,104.6,2020-10-08,Comedy
Re-engineered asymmetric Graphic Interface,Rwanda,Maori,180.66,2014-09-16,Action
Integrated value-added software,Kuwait,Portuguese,145.65,2006-04-11,Romance
Versatile bottom-line alliance,Malaysia,Tagalog,161.24,1994-12-30,Thriller
Robust tertiary interface,French Polynesia,Albanian,2.17,2013-04-11,Mystery
Open-source coherent encryption,Rwanda,Yiddish,184.84,2003-09-26,Mystery
Automated demand-driven projection,Slovenia,Aragonese,112.45,1996-10-23,Mystery
Proactive directional toolset,Syrian Arab Republic,Occitan,109.06,2005-06-08,Fantasy
Cross-platform client-driven time-frame,Portugal,Pali,74.92,2018-01-06,Sci-Fi
Organized clear-thinking product,Kyrgyz Republic,Tibetan,183.15,2013-09-22,Horror
Optional bifurcated archive,Cape Verde,Turkish,166.24,2020-10-07,Mystery
Open-architected heuristic installation,Equatorial Guinea,Lingala,136.16,2018-08-05,Documentary
Inverse reciprocal secured line,Suriname,Nauru,61.42,2015-05-09,Comedy
Decentralized bifurcated synergy,Moldova,Aragonese,173.57,2013-09-13,Sci-Fi
Monitored eco-centric budgetary management,Anguilla,Twi,173.49,2021-06-04,Horror
Operative next generation challenge,Guyana,Telugu,70.08,1997-10-19,Drama
Switchable motivating synergy,United States Virgin Islands,Dzongkha,14.7,2016-12-08,Horror
Distributed static open architecture,Brunei Darussalam,Tahitian,209.55,1995-06-11,Thriller
Virtual actuating leverage,Canada,Esperanto,80.04,2016-05-09,Thriller
Multi-layered motivating Graphic Interface,Nepal,Malagasy,211.05,1999-02-10,Romance
Quality-focused scalable open architecture,Timor-Leste,Afar,222.21,2017-05-29,Documentary
Object-based neutral middleware,Cayman Islands,North Ndebele,285.37,2008-01-27,Fantasy
Fully-configurable zero tolerance moratorium,Togo,Northern Sami,27.25,2018-02-02,Thriller
Open-architected bandwidth-monitored matrices,Grenada,Ganda,8.02,2012-06-07,Mystery
Integrated analyzing help-desk,Swaziland,Sindhi,100.95,2015-06-21,Horror
Open-architected cohesive Local Area Network,Poland,Interlingua,284.1,1995-09-15,Sci-Fi
Persevering zero tolerance orchestration,Netherlands,Turkmen,271.33,2004-09-18,Drama
Assimilated discrete alliance,Guadeloupe,Nepali,107.35,2024-01-09,Documentary
Multi-layered mission-critical knowledge user,Panama,Tatar,154.02,2010-10-16,Comedy
Visionary empowering neural-net,Nicaragua,Yiddish,122.99,2011-10-19,Romance
Horizontal empowering system engine,Congo,Kalaallisut,13.36,2012-02-01,Thriller
Adaptive needs-based superstructure,Denmark,Kurdish,114.39,2023-10-03,Fantasy
Devolved 24/7 open system,Albania,Vietnamese,212.32,1994-07-30,Fantasy
Implemented impactful productivity,Mozambique,Tamil,211.7,2000-07-18,Action
Mandatory bandwidth-monitored toolset,Kiribati,Dzongkha,213.63,2017-09-23,Thriller
Total heuristic time-frame,Brunei Darussalam,Turkish,266.08,2006-10-02,Romance
Total exuding data-warehouse,Austria,Kinyarwanda,3.87,2019-09-05,Horror
Face-to-face actuating knowledge user,Cayman Islands,Bihari languages,18.1,2023-06-05,Mystery
Realigned value-added initiative,Norway,Tahitian,133.51,2001-06-30,Comedy
Ameliorated scalable concept,Korea,Avestan,39.88,1996-01-14,Comedy
Switchable multi-tasking instruction set,Isle of Man,Catalan,107.55,1997-03-22,Mystery
Customer-focused fault-tolerant project,Montserrat,Tibetan,289.99,2004-04-27,Sci-Fi
Extended national frame,Romania,Korean,124.94,2020-06-24,Romance
Compatible leadingedge protocol,Holy See (Vatican City State),Sango,58.02,2012-01-18,Romance
Automated dynamic contingency,Macao,Oriya,108.12,1998-05-26,Drama
Organized next generation methodology,Czech Republic,Ojibwa,209.55,2008-04-29,Thriller
Reverse-engineered attitude-oriented interface,Cuba,Yoruba,241.06,2010-08-10,Fantasy
Realigned 24/7 infrastructure,Mali,Swati,53.83,2018-09-20,Horror
Open-architected eco-centric orchestration,Belgium,Inupiaq,287.34,2020-12-02,Sci-Fi
Re-engineered global software,United Kingdom,Hindi,65.16,2016-01-11,Fantasy
Enterprise-wide regional core,Israel,Rundi,187.91,2003-05-05,Mystery
Digitized demand-driven encoding,Zimbabwe,Fijian,274.52,1995-07-03,Sci-Fi
Business-focused methodical core,Guam,Kurdish,248.44,2006-10-28,Fantasy
Quality-focused heuristic website,Sweden,Norwegian Nynorsk,54.4,1997-09-14,Mystery
Customer-focused modular utilization,Wallis and Futuna,Malayalam,81.6,2019-02-25,Comedy
Devolved homogeneous support,Turkmenistan,Persian,265.21,2003-09-26,Comedy
Visionary neutral process improvement,Honduras,Aragonese,277.69,2004-04-14,Documentary
Expanded tertiary frame,Guatemala,Portuguese,6.0,2011-07-18,Drama
Realigned even-keeled moderator,Reunion,Arabic,155.08,2015-02-21,Sci-Fi
Operative user-facing orchestration,Russian Federation,Yoruba,82.97,2018-07-06,Documentary
Public-key impactful Internet solution,Heard Island and McDonald Islands,Quechua,42.02,1995-04-23,Drama
Customizable zero administration benchmark,Belize,Abkhazian,101.88,2020-09-12,Mystery
Total coherent encoding,Guam,Malay,70.03,2000-08-02,Comedy
Polarized local project,India,Arabic,289.03,2022-02-18,Horror
Focused zero tolerance groupware,Sudan,Kannada,173.96,1994-12-22,Thriller
De-engineered composite help-desk,Grenada,Avaric,49.31,2001-10-14,Thriller
Visionary reciprocal knowledge user,Tonga,Pali,141.43,2007-06-09,Thriller
Reverse-engineered hybrid functionalities,Guinea,Greek,30.46,2006-11-11,Mystery
Progressive executive pricing structure,Moldova,Abkhazian,28.86,2019-11-10,Horror
Multi-layered user-facing application,Mayotte,Sichuan Yi,161.52,1999-03-26,Fantasy
Digitized composite attitude,Congo,Fulah,105.83,2021-10-03,Romance
Managed multimedia solution,Singapore,"Sotho, Southern",167.83,1999-03-30,Fantasy
Sharable national algorithm,Costa Rica,Walloon,144.4,2003-05-15,Horror
Cross-platform 4thgeneration pricing structure,Botswana,Yoruba,209.59,2014-11-17,Romance
Inverse well-modulated encryption,Anguilla,Hausa,118.47,1994-07-01,Mystery
Automated discrete project,Malawi,Wolof,43.47,2022-02-22,Drama
Progressive exuding matrix,Namibia,Breton,137.18,2010-05-17,Sci-Fi
User-centric clear-thinking customer loyalty,Uzbekistan,Fulah,257.52,2015-09-12,Horror
Operative upward-trending middleware,Falkland Islands (Malvinas),Inupiaq,195.45,2023-06-11,Action
Distributed systematic hub,Palau,Sichuan Yi,41.64,2013-12-14,Romance
Synchronized user-facing Graphical User Interface,Nigeria,Nepali,38.99,2016-08-04,Action
Stand-alone uniform website,Andorra,Sanskrit,281.98,2011-04-04,Horror
User-centric tangible approach,Saint Barthelemy,Slovak,32.97,1995-08-12,Sci-Fi
Reactive optimizing synergy,Djibouti,Kuanyama,171.22,2022-10-09,Drama
Progressive optimizing flexibility,Saint Vincent and the Grenadines,Burmese,86.38,2007-12-31,Mystery
Mandatory web-enabled productivity,Zimbabwe,Hiri Motu,71.1,2014-07-01,Fantasy
Phased 3rdgeneration productivity,Svalbard & Jan Mayen Islands,North Ndebele,142.53,2019-09-10,Horror
Ameliorated background methodology,United States of America,Ndonga,42.61,1997-07-23,Romance
Synergized explicit hierarchy,Benin,Uighur,258.97,2020-02-14,Mystery
Open-source system-worthy middleware,Mauritania,Vietnamese,64.35,2009-12-01,Documentary
Focused tangible matrix,Greece,Swati,93.84,2013-01-28,Sci-Fi
Stand-alone real-time infrastructure,Zambia,Guarani,35.05,2020-04-23,Thriller
Automated real-time attitude,Libyan Arab Jamahiriya,Amharic,101.07,2001-10-11,Mystery
Distributed motivating extranet,Yemen,Luba-Katanga,89.26,2023-09-09,Documentary
Synchronized intermediate Graphic Interface,Bolivia,Corsican,237.55,2008-10-13,Romance
Digitized dedicated complexity,French Guiana,"Sotho, Southern",32.12,1999-08-17,Romance
Quality-focused exuding neural-net,Luxembourg,Bulgarian,202.84,2020-07-02,Mystery
Optimized bifurcated project,United States of America,Bihari languages,75.53,2015-01-15,Comedy
Re-contextualized leadingedge product,Western Sahara,Kashmiri,283.77,2016-09-27,Documentary
Ameliorated transitional hardware,Chile,Serbian,257.9,2008-07-08,Thriller
Grass-roots stable methodology,Argentina,Indonesian,56.3,2013-05-25,Thriller
Total holistic encoding,Cambodia,Ewe,20.92,2007-09-06,Thriller
Seamless bi-directional Graphical User Interface,France,Maori,241.13,2017-07-23,Drama
Vision-oriented upward-trending migration,Switzerland,Turkmen,284.9,1994-02-24,Action
Multi-lateral reciprocal core,Solomon Islands,Tajik,219.58,2021-01-22,Thriller
Upgradable attitude-oriented archive,Morocco,Thai,110.53,2003-08-21,Mystery
Proactive next generation utilization,Djibouti,Kashmiri,207.27,2009-07-12,Horror
Integrated optimal Graphic Interface,Romania,Telugu,39.3,1997-01-14,Drama
Progressive 3rdgeneration parallelism,Spain,Zulu,273.1,1995-03-07,Thriller
Proactive uniform toolset,Egypt,Mongolian,143.51,2017-08-25,Action
Synchronized multimedia open architecture,Micronesia,Irish,62.93,1998-04-08,Horror
Polarized directional capacity,Heard Island and McDonald Islands,English,206.49,2011-07-23,Romance
Vision-oriented zero tolerance knowledge user,Malta,Breton,44.73,2021-09-21,Drama
Reactive explicit circuit,Hong Kong,Tonga,204.28,2012-08-02,Action
Assimilated scalable definition,Faroe Islands,Northern Sami,69.47,2017-06-29,Romance
Advanced asynchronous matrices,Somalia,Basque,133.75,2022-01-14,Thriller
Customizable 5thgeneration groupware,Seychelles,Latin,59.27,1999-02-24,Documentary
Open-source object-oriented superstructure,Czech Republic,Belarusian,150.57,2016-12-09,Romance
Right-sized holistic interface,Guam,Ganda,158.69,2000-03-06,Action
Switchable intangible installation,Puerto Rico,Serbian,239.52,2004-04-24,Action
Focused bottom-line Local Area Network,Brazil,Xhosa,212.08,2021-12-27,Sci-Fi
Persevering clear-thinking Internet solution,Burundi,Portuguese,133.01,2005-03-01,Documentary
Synergistic dynamic conglomeration,Cameroon,Armenian,248.49,2011-10-13,Drama
User-centric multimedia adapter,Reunion,Spanish,192.01,1999-12-25,Mystery
Programmable interactive Graphical User Interface,Comoros,Zhuang,235.85,2016-08-17,Fantasy
Mandatory grid-enabled initiative,Pakistan,Tatar,132.71,2005-03-29,Fantasy
Enterprise-wide mobile challenge,Djibouti,Kalaallisut,299.82,2016-07-09,Horror
Monitored executive solution,Korea,Maltese,241.9,2022-12-05,Romance
Business-focused local challenge,Tanzania,Slovak,27.34,2000-03-29,Documentary
Centralized attitude-oriented task-force,Madagascar,Chinese,219.71,2001-05-11,Fantasy
Quality-focused needs-based strategy,Montenegro,French,298.25,2009-07-13,Comedy
Adaptive eco-centric conglomeration,Bahrain,Galician,38.82,2012-10-14,Comedy
Profound mobile toolset,Ireland,Norwegian Nynorsk,277.43,2011-08-07,Drama
Streamlined coherent moderator,Ukraine,Tahitian,76.0,2021-05-06,Comedy
Centralized 4thgeneration challenge,Uganda,Mongolian,31.68,1995-07-17,Fantasy
Profit-focused stable conglomeration,Peru,Turkish,210.24,2022-08-04,Drama
Diverse transitional collaboration,New Caledonia,Burmese,178.1,2007-11-07,Fantasy
Front-line fresh-thinking time-frame,Tajikistan,Church Slavic,284.61,2008-11-10,Romance
Optional solution-oriented superstructure,Niger,Vietnamese,50.28,2021-01-23,Drama
Open-architected composite project,Costa Rica,Slovak,187.75,2014-08-11,Fantasy
Digitized bifurcated knowledgebase,Christmas Island,Azerbaijani,241.18,2008-12-04,Action
Profit-focused grid-enabled matrix,Malta,Cornish,232.34,1999-09-22,Romance
Intuitive actuating firmware,Sudan,Luba-Katanga,197.89,2023-06-05,Romance
Vision-oriented clear-thinking throughput,Trinidad and Tobago,Hungarian,123.49,2006-03-23,Action
Robust explicit flexibility,Western Sahara,Ossetian,93.28,2006-01-02,Documentary
Team-oriented homogeneous algorithm,Czech Republic,Sichuan Yi,231.98,2018-09-19,Action
Persistent mission-critical solution,Burkina Faso,Sichuan Yi,136.66,2023-07-17,Comedy
Multi-layered stable adapter,Liberia,Persian,205.71,1995-03-13,Fantasy
User-friendly multi-state definition,Tokelau,Kikuyu,15.23,2021-11-09,Action
Public-key cohesive throughput,Belgium,Chinese,3.79,2004-06-18,Documentary
Balanced disintermediate software,Angola,Norwegian,260.38,2004-03-08,Romance
Total maximized capability,Solomon Islands,North Ndebele,273.76,2003-11-21,Documentary
Profound object-oriented workforce,Egypt,Chuvash,17.46,1997-05-02,Thriller
Monitored exuding model,France,Azerbaijani,135.24,2009-12-07,Mystery
Customizable 5thgeneration encryption,Austria,Chechen,190.26,2015-06-22,Documentary
Networked high-level throughput,Vanuatu,Irish,129.91,2023-04-18,Documentary
Diverse background utilization,Nauru,Northern Sami,93.77,2020-09-25,Documentary
Total non-volatile collaboration,Gabon,Norwegian Nynorsk,143.16,2003-01-01,Sci-Fi
Fully-configurable value-added solution,Guinea-Bissau,Malayalam,189.67,2009-06-07,Fantasy
Up-sized contextually-based algorithm,Germany,Norwegian,84.37,2000-07-01,Horror
Right-sized 3rdgeneration instruction set,Turkey,Bulgarian,131.67,2014-02-20,Horror
Optimized bandwidth-monitored functionalities,United States of America,Chuvash,232.42,1998-02-22,Fantasy
Grass-roots systemic Graphic Interface,Senegal,Faroese,283.37,1998-12-30,Action
Re-engineered heuristic open system,Cyprus,Slovak,286.57,1996-08-09,Sci-Fi
Horizontal optimal access,Mauritius,Ossetian,236.72,2014-11-21,Drama
Customizable 4thgeneration collaboration,Tanzania,Hebrew,247.91,2016-02-03,Mystery
Stand-alone empowering help-desk,Mexico,Ossetian,270.18,2014-06-28,Action
Seamless even-keeled intranet,Bulgaria,Fijian,15.83,2001-07-23,Drama
Devolved background access,Cayman Islands,Wolof,94.52,2010-08-17,Action
Implemented zero tolerance middleware,Saint Martin,Tswana,72.87,2000-08-07,Horror
Assimilated well-modulated policy,Marshall Islands,Avaric,47.86,2014-09-01,Comedy
Future-proofed executive product,Angola,Bulgarian,11.92,2008-10-16,Action
Cross-platform demand-driven architecture,Korea,South Ndebele,10.22,2017-09-06,Thriller
Grass-roots foreground implementation,Pakistan,Kazakh,161.98,2001-02-10,Comedy
Decentralized intangible monitoring,Romania,Galician,211.94,1995-06-18,Drama
Customer-focused empowering methodology,Trinidad and Tobago,Sichuan Yi,293.2,2005-11-06,Horror
